,STATE/UT,RAPE,KIDNAPPING,DOWRY,ASSAULT,INSULT,CRUELTY,TRAFFECKING
338,TAMIL NADU,686,1464,165,1405,638,1570,0
339,TRIPURA,238,91,25,376,9,937,0
340,UTTAR PRADESH,1563,5468,2217,2793,11,7978,0
341,UTTARAKHAND,121,249,75,125,165,334,0
342,WEST BENGAL,2311,2764,507,2465,163,17796,8
343,A&N ISLANDS,24,8,0,31,10,9,0
344,CHANDIGARH,31,28,5,29,4,41,0
345,D&N HAVELI,3,10,0,11,2,3,0
346,DAMAN & DIU,1,2,0,2,0,3,0
347,DELHI,507,1740,143,601,80,1404,0
348,LAKSHADWEEP,0,0,0,0,0,0,0
349,PUDUCHERRY,3,14,1,46,22,7,0
350,ANDHRA PRADESH,1442,1612,599,4849,3658,13376,0
351,ARUNACHAL PRADESH,42,60,0,51,0,18,0
352,ASSAM,1700,3192,121,1193,8,5246,2
353,BIHAR,934,3050,1413,790,11,2607,10
354,CHHATTISGARH,1053,365,104,1654,174,834,2
355,GOA,29,17,1,29,12,18,0
356,GUJARAT,439,1442,30,685,93,6052,0
357,HARYANA,733,733,255,474,490,2740,0
358,HIMACHAL PRADESH,168,191,4,331,62,239,0
359,JAMMU & KASHMIR,277,1023,11,1194,350,286,0
360,JHARKHAND,784,660,282,317,7,659,6
361,KARNATAKA,636,715,267,2608,81,3712,12
362,KERALA,1132,221,15,3756,573,5377,0
363,MADHYA PRADESH,3406,1088,811,6665,762,3732,45
364,MAHARASHTRA,1701,1252,339,3794,1071,7136,0
365,MANIPUR,53,116,1,38,0,39,0
366,MEGHALAYA,130,37,1,74,1,21,3
367,MIZORAM,77,0,0,72,1,9,0
368,NAGALAND,23,3,0,9,0,1,0
369,ODISHA,1112,1008,465,3207,235,2320,0
370,PUNJAB,479,517,143,282,31,1136,0
371,RAJASTHAN,1800,2713,514,2447,9,12218,0
372,SIKKIM,16,10,0,24,0,4,0
373,TAMIL NADU,677,1743,152,1467,464,1812,0
374,TRIPURA,205,116,30,294,9,702,0
375,UTTAR PRADESH,2042,7525,2322,3455,3,7121,0
376,UTTARAKHAND,129,283,83,116,72,307,0
377,WEST BENGAL,2363,3711,510,2363,200,19772,0
378,A&N ISLANDS,13,12,0,15,3,5,0
379,CHANDIGARH,27,46,2,21,12,46,0
380,D&N HAVELI,4,8,0,2,0,3,0
381,DAMAN & DIU,1,2,0,0,0,2,0
382,DELHI,572,2085,142,657,162,1575,0
383,LAKSHADWEEP,0,0,0,0,0,0,0
384,PUDUCHERRY,7,9,1,35,16,10,0
385,ANDHRA PRADESH,1341,1403,504,4816,3714,13389,0
386,ARUNACHAL PRADESH,46,58,1,67,2,26,0
387,ASSAM,1716,3360,140,1840,5,6407,2
388,BIHAR,927,3789,1275,118,37,3686,4
389,CHHATTISGARH,1034,350,81,1601,162,980,0
390,GOA,55,16,0,49,16,24,0
391,GUJARAT,473,1527,21,745,93,6658,0
392,HARYANA,668,900,258,525,434,3137,0
393,HIMACHAL PRADESH,183,152,2,250,68,251,0
394,JAMMU & KASHMIR,303,1041,8,1322,347,301,0
395,JHARKHAND,812,786,302,284,10,1261,3
396,KARNATAKA,621,1070,218,2978,100,3684,32
397,KERALA,1019,214,32,3735,498,5216,0
398,MADHYA PRADESH,3425,1127,743,6655,774,3988,6
399,MAHARASHTRA,1839,1140,329,3935,1294,7415,0
400,MANIPUR,63,133,0,49,1,43,0
401,MEGHALAYA,164,24,1,43,0,16,0
402,MIZORAM,103,3,0,85,0,8,0
403,NAGALAND,21,10,0,16,0,0,0
404,ODISHA,1458,1364,525,4187,304,2638,0
405,PUNJAB,680,689,118,340,31,1293,0
406,RAJASTHAN,2049,2697,478,2352,18,13312,0
407,SIKKIM,34,10,1,19,0,4,0
408,TAMIL NADU,737,1693,110,1494,382,1965,0
409,TRIPURA,229,114,37,314,7,858,0
410,UTTAR PRADESH,1963,7910,2244,3247,8,7661,0
411,UTTARAKHAND,148,256,71,139,73,368,0
412,WEST BENGAL,2046,4168,593,3345,556,19865,12
